node1,node2,count,color,strength
I10,N17.9,2593,blue,51.86
585.6,N17.9,1744,blue,34.88
N17.9,N39.0,1297,blue,25.94
584.9,585.6,1697,blue,33.94
584.9,I10,2087,blue,41.74
E87.6,I10,1330,blue,26.6
E78.5,I10,2828,blue,56.56
I10,N39.0,1604,blue,32.08
599.0,I10,1375,blue,27.5
782.3,I10,1463,blue,29.26
401.9,I10,3417,blue,68.34
585.6,I10,2644,blue,52.88
E66.9,I10,1683,blue,33.66
278.00,I10,1456,blue,29.12
585.6,585.9,1906,blue,38.12
278.00,E78.5,1295,blue,25.9
E66.9,E78.5,1573,blue,31.46
585.6,N18.6,2929,blue,58.58
9863,I10,2390,red,47.8
250.00,9863,1509,red,30.18
585.6,9863,1923,red,38.46
585.9,9863,1665,red,33.3
11124,R06.02,1476,red,29.52
11124,786.05,1269,red,25.38
786.50,R06.02,1513,blue,30.26
786.05,786.50,1378,blue,27.56
428.0,I50.9,1445,blue,28.9
428.0,585.6,1323,blue,26.46
428.0,I10,1575,blue,31.5
428.0,R06.02,1363,blue,27.26
428.0,786.05,1266,blue,25.32
786.05,R07.9,1378,blue,27.56
R06.02,R07.9,1650,blue,33.0
786.05,I10,1999,blue,39.98
I10,I50.9,1849,blue,36.98
I10,R06.02,2528,blue,50.56
585.6,I50.9,1321,blue,26.42
786.05,I50.9,1279,blue,25.58
I50.9,R06.02,1612,blue,32.24
9863,N18.9,1815,red,36.3
401.9,9863,2217,red,44.34
I50.9,N18.9,1481,blue,29.62
I50.9,N17.9,1453,blue,29.06
401.9,I50.9,1723,blue,34.46
I10,J18.9,1518,blue,30.36
I10,R10.9,1599,blue,31.98
I10,N18.9,2605,blue,52.1
401.9,428.0,1571,blue,31.42
N18.6,N18.9,2518,blue,50.36
585.6,N18.9,1887,blue,37.74
E66.9,N18.9,1266,blue,25.32
N17.9,N18.9,2058,blue,41.16
N18.5,N18.9,1433,blue,28.66
584.9,N18.9,1668,blue,33.36
585.9,N18.9,2016,blue,40.32
428.0,N18.9,1292,blue,25.84
E55.9,R06.02,1256,blue,25.12
R06.02,R10.9,1279,blue,25.58
J18.9,R06.02,1293,blue,25.86
5224,I10,1437,red,28.74
401.9,5224,1322,red,26.44
786.2,R06.02,1301,blue,26.02
428.0,D64.9,1278,blue,25.56
D64.9,I10,2596,blue,51.92
285.9,9863,1568,red,31.36
285.9,I50.9,1269,blue,25.38
285.9,I10,2147,blue,42.94
I10,I25.10,1751,blue,35.02
I25.10,N18.9,1256,blue,25.12
585.6,I25.10,1256,blue,25.12
D64.9,I50.9,1593,blue,31.86
780.79,9863,1349,red,26.98
I25.10,R06.02,1414,blue,28.28
R05,R06.02,1630,blue,32.6
786.05,R05,1338,blue,26.76
R05,R07.9,1250,blue,25.0
A41.9,I10,1280,blue,25.6
D64.9,R10.9,1292,blue,25.84
D64.9,R53.1,1264,blue,25.28
