node,color
250.00,green
782.3,green
I10,green
584.9,green
E87.6,green
E55.9,green
N17.9,green
585.6,green
E66.9,green
278.00,green
599.0,green
N39.0,green
401.9,green
N18.6,green
585.9,green
E78.5,green
9863,orange
I50.9,green
428.0,green
R06.02,green
786.05,green
11124,orange
786.50,green
R07.9,green
N18.9,green
R10.9,green
J18.9,green
N18.5,green
786.2,green
D64.9,green
5224,orange
285.9,green
I25.10,green
780.79,green
R05,green
R53.1,green
A41.9,green
