node1,node2,count,color,strength
I10,I25.10,1572,blue,31.44
E78.5,I10,2934,blue,58.68
401.9,I10,2996,blue,59.92
F03.90,I10,3270,blue,65.4
I10,N17.9,1862,blue,37.24
I10,J18.9,1368,blue,27.36
285.9,I10,1396,blue,27.92
I10,R06.02,1624,blue,32.48
D64.9,I10,2068,blue,41.36
E03.9,I10,1252,blue,25.04
I10,N39.0,2343,blue,46.86
E87.6,I10,1534,blue,30.68
F32.9,I10,1746,blue,34.92
599.0,I10,1574,blue,31.48
E86.0,I10,1700,blue,34.0
N17.9,N39.0,1321,blue,26.42
9863,I10,2295,red,45.9
401.9,9863,1882,red,37.64
780.79,9863,1335,red,26.7
I10,R41.0,1301,blue,26.02
F41.9,I10,1440,blue,28.8
F03.90,F41.9,1301,blue,26.02
