node,color
E78.5,green
I10,green
I25.10,green
J18.9,green
401.9,green
R06.02,green
F03.90,green
N17.9,green
285.9,green
D64.9,green
F32.9,green
E03.9,green
N39.0,green
E87.6,green
599.0,green
E86.0,green
F41.9,green
780.79,green
9863,orange
R41.0,green
