node1,node2,count,color,strength
9863,I10,1540,red,30.8
401.9,9863,1338,red,26.76
401.9,I10,2164,blue,43.28
599.0,I10,1962,blue,39.24
I10,R06.02,1296,blue,25.92
I10,N39.0,2430,blue,48.6
F32.9,N39.0,1269,blue,25.38
E78.5,I10,1723,blue,34.46
R05,R06.02,1313,blue,26.26
