node,color
I10,green
F41.1,green
401.9,green
R10.9,green
F41.9,green
F32.9,green
E78.5,green
E66.9,green
R53.83,green
786.2,green
R30.0,green
278.00,green
R06.02,green
R05,green
786.50,green
R07.9,green
789.00,green
R51,green
784.0,green
R11.0,green
R19.7,green
