node1,node2,count,color,strength
401.9,I10,1692,blue,33.84
R10.9,R11.0,1296,blue,25.92
R05,R06.02,1327,blue,26.54
9863,R11.0,1309,red,26.18
R05,R50.9,1329,blue,26.58
