node,color
E78.5,green
F32.9,green
I10,green
401.9,green
F41.9,green
780.79,green
786.50,green
9863,orange
R07.9,green
R53.83,green
R05,green
R10.9,green
786.2,green
R51,green
784.0,green
724.2,green
M54.5,green
278.00,green
789.00,green
E66.9,green
N39.0,green
599.0,green
R06.02,green
786.05,green
