node1,node2,count,color,strength
9863,I10,1446,red,28.92
401.9,9863,1388,red,27.76
780.79,9863,1367,red,27.34
E78.5,I10,1761,blue,35.22
401.9,I10,2507,blue,50.14
F32.9,I10,2334,blue,46.68
F41.9,I10,1613,blue,32.26
786.50,F32.9,1684,blue,33.68
F32.9,R07.9,1660,blue,33.2
F32.9,F41.9,2536,blue,50.72
786.2,R53.83,1461,blue,29.22
786.2,786.50,1272,blue,25.44
784.0,F32.9,1517,blue,30.34
786.50,R05,1357,blue,27.14
789.00,F32.9,1418,blue,28.36
F32.9,R10.9,1673,blue,33.46
R05,R51,1272,blue,25.44
R05,R53.83,1623,blue,32.46
724.2,F32.9,1707,blue,34.14
E66.9,F32.9,1562,blue,31.24
278.00,F32.9,1551,blue,31.02
F32.9,M54.5,1678,blue,33.56
F32.9,R51,1588,blue,31.76
599.0,F32.9,1393,blue,27.86
F32.9,N39.0,1418,blue,28.36
F41.9,R10.9,1276,blue,25.52
786.2,R06.02,1388,blue,27.76
786.05,786.2,1298,blue,25.96
R05,R07.9,1342,blue,26.84
786.05,R05,1361,blue,27.22
R05,R06.02,1551,blue,31.02
786.05,I10,1281,blue,25.62
I10,R06.02,1440,blue,28.8
